symbol,side,date_signal,date_entree,date_sortie,bars,entree,stop_initial,sortie,R,ret_pct,motif,atr_pct_entree
SPX,long,1993-09-20,1993-09-21,1993-10-08,13,455.05,448.6972638206511,457.3297347841984,0.2152387586720746,0.0030018438860650244,stop,0.006980261706789284
SPX,long,1993-11-04,1993-11-05,1993-11-19,10,457.49,451.0123127756858,460.44239082859923,0.3140717307458585,0.00444255833298856,stop,0.007079594334645753
SPX,long,1993-11-22,1993-11-23,1993-12-31,26,459.13,452.00400025527176,466.4843291527001,0.902149179601555,0.013987960993654194,stop,0.007760329040498591
SPX,long,1994-02-04,1994-02-07,1994-02-18,9,469.81,462.9481565988086,467.94111840382163,-0.40902022248056896,-0.005968005971981069,stop,0.007302785595444302
SPX,long,1994-02-24,1994-02-25,1994-03-02,3,464.33,456.6086537570686,461.7663902293092,-0.4519556630574296,-0.007508065257422647,stop,0.008314502878266912
SPX,long,1994-03-03,1994-03-04,1994-03-24,14,463.03,455.1320332849097,464.2247761829332,0.033872187159159246,0.0005771853931662091,stop,0.008528569115489581
SPX,short,1994-07-15,1994-07-18,1994-07-29,9,454.41,461.78218972950407,456.51022097048957,-0.40844597086387346,-0.0066331184322676925,stop,0.008111826026610388
SPX,short,1994-08-02,1994-08-03,1994-08-12,7,460.65,466.76421482221775,461.5089731786679,-0.291310037942118,-0.003870433228944826,stop,0.0066365080019730556
SPX,long,1994-09-20,1994-09-21,1994-10-04,9,463.42,456.03706843751013,458.69444981061,-0.7649623447539915,-0.012174749938681824,stop,0.007965702346133004
SPX,long,1995-10-26,1995-10-27,1995-12-15,34,576.72,567.9052891787113,614.5872471954988,4.160764963466079,0.06353048385291948,stop,0.007642106066452231
SPX,long,1996-01-10,1996-01-11,1996-02-15,25,598.48,587.1166121125208,652.4061713867078,4.635526458914734,0.08792718646031353,stop,0.009493540208093208
SPX,long,1996-03-08,1996-03-11,1996-04-08,19,633.5,616.5092920885268,644.3888332688873,0.5656588581061179,0.015156026981098674,stop,0.013410187775432694
SPX,long,1996-04-10,1996-04-11,1996-05-02,15,633.5,619.1614237214816,645.1966274180539,0.7265666122126629,0.01642860815685653,stop,0.01131695049606817
SPX,long,1996-05-07,1996-05-08,1996-05-29,14,638.26,625.7091819993502,668.6692880222963,2.3187619111971336,0.04555084988691948,stop,0.009832057469252184
SPX,long,1996-07-05,1996-07-08,1996-07-11,3,657.44,645.6900791335096,646.0737927222607,-1.0782813956300172,-0.01925204430283395,stop,0.008936116502259115
SPX,long,1996-07-12,1996-07-15,1996-07-15,0,646.19,632.6952888523349,632.6952888523349,-1.094769371115702,-0.022839780248717124,stop,0.010441751766249178
SPX,long,1996-07-17,1996-07-18,1996-07-23,3,634.07,616.5922301780539,626.8108453721518,-0.4874784117205882,-0.013423634534469478,stop,0.013782208448551547
SPX,long,1996-08-30,1996-09-03,1996-10-09,26,651.99,640.451229459533,694.8139441571277,3.594589221400011,0.06355266876556726,stop,0.008848886133581056
SPX,long,1996-12-12,1996-12-13,1996-12-31,11,729.33,712.249156795333,742.8879422255144,0.7075601677548767,0.016554441244232828,stop,0.011709955167528433
SPX,long,1997-03-13,1997-03-14,1997-03-20,4,789.56,770.6644985376952,778.2884629278598,-0.679494299777209,-0.016245198561340386,stop,0.011965842660662146
SPX,long,1997-03-21,1997-03-24,1997-03-27,3,784.1,765.4533968470612,779.4722204347644,-0.33203644303946844,-0.007888236983868509,stop,0.011890449657530151
SPX,long,1997-03-31,1997-04-01,1997-04-11,8,757.12,735.1631390483427,749.2833408840157,-0.4255190428831769,-0.012327938408891684,stop,0.01450025157944397
SPX,long,1997-04-14,1997-04-15,1997-06-11,40,743.73,722.0707888234626,869.57,5.7355135876125685,0.16686512229249537,temps,0.014561205798164261
SPX,long,1997-08-15,1997-08-18,1997-08-22,4,900.81,872.6201051197029,910.5074128819197,0.27974902008413827,0.008745703590974993,stop,0.015646970437882032
SPX,long,1997-08-28,1997-08-29,1997-09-11,8,903.67,874.3150369312485,912.6596100868261,0.24436346453371535,0.007930012462931145,stop,0.016242081218116926
SPX,long,1997-10-17,1997-10-20,1997-10-23,3,944.16,918.3791934467921,946.9669052487618,0.03552171037097271,0.0009689708100672472,stop,0.013652774187218202
SPX,long,1997-10-24,1997-10-27,1997-10-27,0,941.64,913.0890662604119,913.0890662604119,-1.0649621158865505,-0.032257855994148654,stop,0.015160217142213625
SPX,long,1997-10-28,1997-10-29,1997-11-12,10,921.85,878.9330214184164,913.2619146492844,-0.2428688507405221,-0.011295530163132762,stop,0.023277636590325758
SPX,long,1997-12-23,1997-12-24,1998-01-07,8,939.13,910.2971752199054,955.8380942924373,0.5137591030751731,0.015757486045887954,stop,0.015350816596261746
SPX,long,1998-01-09,1998-01-12,1998-03-05,36,927.69,898.3189410944998,1032.9260872170623,3.5162324743594864,0.11121419744851664,stop,0.015830212088898392
SPX,long,1998-04-27,1998-04-28,1998-05-07,7,1086.54,1060.596561061198,1104.5008012312098,0.6078515830988428,0.014499242019212762,stop,0.011938556766802002
SPX,long,1998-05-26,1998-05-27,1998-06-04,6,1094.02,1068.162499100691,1078.2163656114135,-0.6951897951854364,-0.016414611105241617,stop,0.011817654567242365
SPX,long,1998-06-15,1998-06-16,1998-07-21,24,1077.01,1047.8379042435768,1167.254728918328,3.016597262129631,0.0816264952393868,stop,0.013543094194307952
SPX,long,1998-07-23,1998-07-24,1998-07-28,2,1139.75,1112.9103277819122,1122.2131615117755,-0.7376692788518219,-0.017353825511830664,stop,0.011774368158845323
SPX,long,1998-07-29,1998-07-30,1998-08-03,2,1125.21,1094.4396704961264,1111.946122603546,-0.5037656004660622,-0.013762362555510896,stop,0.013673149680447923
